DATE,TEMP,MAX,MIN,WDSP
1975-02-03,16.0,20.0,3.0,4.5
1975-02-07,16.67,27.0,10.0,1.5
1975-02-08,18.22,23.0,10.0,2.0
1975-02-10,19.39,24.0,12.0,4.7
1975-02-11,21.0,25.0,13.0,999.9
1975-02-14,17.22,21.0,13.0,4.2
1975-02-15,15.78,22.0,11.0,6.0
1975-02-16,14.78,21.0,8.0,8.6
1975-02-21,13.5,21.0,0.0,999.9
1975-02-26,22.28,29.0,15.0,3.0
1975-03-01,23.0,32.0,18.0,999.9
1975-03-02,23.78,29.0,13.0,6.8
1975-03-03,23.44,32.0,13.0,5.1
1975-03-05,23.78,35.0,17.0,4.8
1975-03-06,23.0,33.0,19.0,4.2
1975-03-07,23.5,27.0,20.0,0.7
1975-03-08,22.61,30.0,12.0,4.5
1975-03-09,22.67,31.0,18.0,11.6
1975-03-10,22.0,31.0,16.0,999.9
1975-03-11,20.22,30.0,15.0,3.8
1975-03-12,21.17,27.0,12.0,7.1
1975-03-13,18.17,26.0,9.0,6.2
1975-03-14,16.5,28.0,9.0,4.5
1975-03-15,20.22,30.0,8.0,999.9
1975-03-16,21.5,32.0,9.0,999.9
1975-03-20,27.5,33.0,22.0,3.5
1975-03-22,28.5,34.0,19.0,8.0
1975-03-27,20.83,31.0,12.0,3.2
1975-03-29,26.22,35.0,17.0,5.0
1975-03-30,28.5,36.0,18.0,4.8
1975-03-31,28.83,37.0,16.0,5.0
1975-04-02,27.78,40.0,13.0,2.8
1975-04-04,30.22,41.0,20.0,1.2
1975-04-05,33.39,41.0,25.0,999.9
1975-04-10,27.22,34.0,16.0,7.2
1975-05-01,32.72,42.0,22.0,4.5
1975-05-02,31.0,40.0,23.0,16.5
1975-05-03,30.22,35.0,26.0,7.7
1975-05-08,36.0,43.0,22.0,7.5
1975-05-09,36.22,43.0,28.0,6.5
1975-05-13,39.5,43.0,30.0,999.9
1975-05-15,35.72,42.0,30.0,999.9
1975-05-16,33.61,40.0,29.0,2.2
1975-06-11,34.5,39.0,31.0,4.5
1975-06-12,36.17,42.0,29.0,5.2
1975-06-17,35.72,41.0,32.0,999.9
1975-06-19,29.22,35.0,27.0,4.4
1975-06-20,27.78,32.0,22.0,3.0
1975-06-23,29.28,33.0,25.0,4.5
1975-06-24,31.5,36.0,25.0,2.8
1975-06-30,28.22,33.0,25.0,1.5
1975-07-01,30.22,35.0,26.0,999.9
1975-07-03,32.17,37.0,26.0,4.0
1975-07-05,31.28,37.0,25.0,999.9
1975-07-06,31.0,36.0,27.0,5.7
1975-07-07,34.67,41.0,28.0,999.9
1975-07-17,27.78,33.0,25.0,6.8
1975-07-24,26.78,32.0,25.0,1.4
1975-07-28,29.44,33.0,16.0,8.6
1975-08-04,25.22,26.0,24.0,5.5
1975-08-06,27.72,32.0,26.0,3.5
1975-08-08,30.39,33.0,28.0,4.8
1975-08-09,32.0,35.0,26.0,999.9
1975-08-10,31.28,35.0,28.0,4.1
1975-08-11,29.33,36.0,25.0,5.6
1975-08-12,29.0,32.0,27.0,999.9
1975-08-13,31.78,34.0,30.0,999.9
1975-08-14,29.78,34.0,27.0,7.3
1975-08-15,29.0,34.0,27.0,999.9
1975-08-17,24.39,34.0,27.0,4.2
1975-08-19,29.39,33.0,27.0,3.8
1975-08-20,27.72,34.0,24.0,999.9
1975-08-29,31.0,34.0,27.0,4.8
1975-08-30,28.78,33.0,23.0,8.4
1975-08-31,27.33,32.0,23.0,4.1
1975-09-02,27.61,30.0,26.0,6.0
1975-09-06,26.61,30.0,24.0,1.7
1975-09-07,26.78,28.0,24.0,3.8
1975-09-08,27.0,30.0,25.0,4.5
1975-09-09,25.0,29.0,24.0,3.0
1975-09-10,28.0,31.0,24.0,7.5
1975-09-14,28.39,32.0,24.0,4.2
1975-09-15,28.0,31.0,25.0,4.8
1975-09-16,27.28,30.0,25.0,5.5
1975-09-17,29.39,31.0,25.0,4.2
1975-09-18,29.5,33.0,25.0,4.0
1975-09-19,30.0,34.0,27.0,4.2
1975-09-20,28.17,34.0,25.0,1.7
1975-09-21,27.22,33.0,25.0,0.8
1975-09-22,27.83,34.0,24.0,1.7
1975-09-23,29.72,35.0,25.0,1.9
1975-09-24,27.83,35.0,23.0,2.4
1975-09-25,28.17,35.0,22.0,0.0
1975-09-26,27.22,29.0,24.0,2.4
1975-09-29,25.61,31.0,23.0,1.4
1975-09-30,28.0,33.0,24.0,999.9
1975-10-03,29.0,34.0,24.0,3.7
1975-10-04,27.0,31.0,24.0,2.8
1975-10-05,29.0,32.0,25.0,0.0
1975-10-08,31.0,35.0,25.0,3.5
1975-10-09,27.5,35.0,22.0,3.3
1975-10-12,30.0,35.0,20.0,4.2
1975-10-13,28.17,36.0,20.0,2.8
1975-10-14,27.5,34.0,20.0,2.7
1975-10-21,25.5,34.0,20.0,999.9
1975-10-22,26.78,35.0,20.0,5.0
1975-10-23,27.0,33.0,17.0,1.3
1975-10-24,25.22,33.0,18.0,4.3
1975-11-01,23.0,31.0,14.0,2.0
1975-11-03,20.83,31.0,11.0,0.7
1975-11-12,19.5,26.0,9.0,6.5
1975-11-14,21.22,31.0,8.0,6.4
1975-11-17,21.0,31.0,9.0,3.0
1975-11-19,18.28,28.0,11.0,2.5
1975-11-20,13.17,24.0,6.0,1.8
1975-11-21,18.78,27.0,6.0,3.0
1975-11-24,19.78,26.0,11.0,5.8
1975-11-25,13.28,25.0,6.0,999.9
1975-11-26,11.0,25.0,6.0,0.7
1975-11-27,13.78,25.0,6.0,0.0
1975-11-29,18.0,25.0,4.0,999.9
1975-12-01,17.61,26.0,4.0,1.0
1975-12-02,18.28,27.0,7.0,2.5
1975-12-04,19.22,28.0,9.0,1.0
1975-12-07,18.5,23.0,12.0,13.7
1975-12-09,11.22,25.0,3.0,2.4
1975-12-10,12.78,25.0,3.0,2.5
1975-12-11,13.61,25.0,4.0,3.3
1975-12-13,12.0,26.0,5.0,999.9
1975-12-14,14.11,25.0,6.0,0.7
1975-12-15,15.28,26.0,0.0,999.9
1975-12-16,16.0,25.0,5.0,999.9
1975-12-24,13.61,25.0,6.0,2.6
1975-12-27,15.5,21.0,6.0,2.0
1975-12-28,12.22,20.0,5.0,1.3
1975-12-29,14.78,30.0,7.0,1.0
1975-12-31,16.61,24.0,7.0,0.0
1976-01-02,20.0,26.0,8.0,4.7
1976-01-07,8.78,22.0,5.0,1.5
1976-01-09,15.61,23.0,3.0,1.4
1976-01-10,14.39,25.0,5.0,0.4
1976-01-11,14.39,25.0,7.0,0.8
1976-01-12,15.22,24.0,0.0,2.6
1976-01-13,15.72,24.0,10.0,6.0
1976-01-15,17.61,25.0,10.0,4.4
1976-01-18,11.5,21.0,8.0,1.0
1976-01-19,13.67,22.0,4.0,1.8
1976-01-20,14.61,21.0,5.0,4.7
1976-01-23,11.78,20.0,5.0,1.0
1976-01-25,17.78,25.0,14.0,0.6
1976-01-26,18.5,25.0,8.0,6.0
1976-01-28,20.28,25.0,11.0,3.2
1976-01-29,15.0,25.0,11.0,2.4
1976-01-30,17.61,23.0,11.0,3.2
1976-02-01,16.22,19.0,14.0,999.9
1976-02-05,19.22,24.0,9.0,6.9
1976-02-06,13.0,20.0,6.0,4.0
1976-02-09,23.0,31.0,12.0,2.5
1976-02-10,18.0,26.0,9.0,1.2
1976-02-11,18.22,26.0,10.0,2.0
1976-02-12,21.0,27.0,10.0,999.9
1976-02-13,22.28,27.0,12.0,999.9
1976-02-14,21.78,29.0,11.0,2.6
1976-02-18,22.0,26.0,13.0,5.7
1976-02-19,22.28,27.0,17.0,3.3
1976-02-20,19.5,27.0,13.0,11.3
1976-02-22,17.5,26.0,8.0,4.5
1976-02-25,23.28,28.0,13.0,7.0
1976-02-27,18.22,25.0,7.0,5.2
1976-03-01,21.28,27.0,15.0,9.5
1976-03-02,21.83,29.0,10.0,7.8
1976-03-03,18.78,31.0,12.0,5.2
1976-03-05,25.0,34.0,18.0,3.8
1976-03-06,18.22,28.0,13.0,24.0
1976-03-07,20.39,31.0,12.0,2.0
