TATION,DATE,TEMP,DEWP,SLP,WDSP,PRCP
42071099999,1975-01-01,11.17,44.0,1015.6,4.5,0.0
42071099999,1975-01-02,6.22,40.1,1020.5,2.7,0.0
42071099999,1975-01-03,8.61,35.6,1020.1,4.5,0.0
42071099999,1975-01-04,11.83,35.0,1022.0,3.0,0.0
42071099999,1975-01-08,10.33,45.2,1016.1,6.7,0.0
42071099999,1975-01-09,11.17,48.8,1017.1,5.8,0.2
42071099999,1975-01-10,12.67,46.7,1016.1,5.2,0.0
42071099999,1975-01-11,9.78,45.0,1015.4,5.0,0.0
42071099999,1975-01-12,8.0,41.6,1016.3,4.8,0.0
42071099999,1975-01-13,7.67,40.7,1018.2,3.3,0.0
42071099999,1975-01-14,11.83,41.5,1018.4,4.3,0.0
42071099999,1975-01-15,12.44,44.6,1017.6,4.4,0.0
42071099999,1975-01-16,10.72,44.6,1018.6,7.0,99.99
42071099999,1975-01-17,12.5,41.0,1018.7,7.3,0.0
42071099999,1975-01-18,10.72,35.2,1019.1,8.7,0.0
42071099999,1975-01-19,10.83,35.9,1018.7,2.7,0.0
42071099999,1975-01-20,10.0,34.2,1018.1,2.9,0.0
42071099999,1975-01-21,10.67,44.6,1016.1,5.3,0.0
42071099999,1975-01-22,10.67,48.2,1015.9,4.6,0.43
42071099999,1975-01-23,10.78,44.2,1020.0,4.0,0.0
42071099999,1975-01-24,11.61,39.9,1021.4,5.4,0.0
42071099999,1975-01-25,10.83,38.9,1023.0,4.9,0.0
42071099999,1975-01-26,11.33,38.0,1021.7,3.3,99.99
42071099999,1975-01-27,13.5,43.4,1021.9,4.3,99.99
42071099999,1975-01-29,13.83,47.0,1018.1,7.0,0.0
42071099999,1975-01-30,12.28,51.2,1017.4,2.8,99.99
42071099999,1975-01-31,12.72,49.5,1015.1,2.6,0.0
42071099999,1975-02-01,9.61,39.2,1017.5,4.7,0.0
42071099999,1975-02-02,12.22,38.5,1017.8,6.4,0.0
42071099999,1975-02-03,10.28,37.7,1014.5,4.0,0.0
42071099999,1975-02-04,10.0,41.7,1014.0,4.2,0.0
42071099999,1975-02-05,12.56,46.9,1015.0,5.2,99.99
42071099999,1975-02-06,13.28,47.6,1016.6,5.6,0.0
42071099999,1975-02-07,14.39,48.6,1018.4,5.1,0.0
42071099999,1975-02-08,15.17,54.5,1016.6,3.8,99.99
42071099999,1975-02-10,13.67,46.4,1013.4,5.8,0.0
42071099999,1975-02-11,12.0,43.7,1015.1,3.1,0.0
42071099999,1975-02-12,15.39,50.0,1010.8,8.2,0.04
42071099999,1975-02-13,12.83,50.6,1006.1,6.0,0.0
42071099999,1975-02-14,12.39,44.2,1014.3,4.6,0.0
42071099999,1975-02-15,11.72,37.9,1019.5,7.0,0.0
42071099999,1975-02-16,8.67,35.6,1020.7,4.9,0.0
42071099999,1975-02-17,11.44,36.4,1020.1,2.8,0.0
42071099999,1975-02-18,11.5,38.5,1018.6,2.8,0.0
42071099999,1975-02-19,12.83,39.2,1018.3,3.7,0.0
42071099999,1975-02-20,12.22,47.1,1020.2,3.6,0.0
42071099999,1975-02-21,14.44,44.6,1019.7,5.2,0.0
42071099999,1975-02-22,15.44,44.9,1019.4,4.0,0.0
42071099999,1975-02-23,15.17,47.6,1018.1,6.5,0.0
42071099999,1975-02-24,14.0,46.7,1016.7,4.0,0.0
42071099999,1975-02-25,17.67,45.3,1014.3,3.6,0.0
42071099999,1975-02-26,16.72,9999.9,1015.2,3.8,0.0
42071099999,1975-02-28,17.22,54.1,1012.8,6.8,0.0
42071099999,1975-03-01,17.17,50.9,1012.9,4.3,0.0
42071099999,1975-03-02,18.0,48.2,1013.4,5.8,0.0
42071099999,1975-03-03,19.44,51.2,1008.8,4.4,0.0
42071099999,1975-03-04,19.39,56.8,1007.4,6.6,0.0
42071099999,1975-03-05,18.56,57.5,1007.2,5.4,99.99
42071099999,1975-03-06,17.33,46.4,1009.3,6.7,0.0
42071099999,1975-03-07,20.5,9999.9,1013.0,999.9,0.0
42071099999,1975-03-10,16.61,53.6,1007.4,11.8,99.99
42071099999,1975-03-11,16.0,51.2,1010.3,3.6,99.99
42071099999,1975-03-12,13.78,46.8,1016.0,7.0,0.0
42071099999,1975-03-13,15.56,48.5,1016.7,7.4,0.0
42071099999,1975-03-14,16.78,41.7,1014.0,6.8,0.0
42071099999,1975-03-15,16.5,47.9,1013.2,5.7,0.0
42071099999,1975-03-16,19.0,9999.9,1011.2,8.4,0.0
42071099999,1975-03-17,19.67,50.6,1012.4,5.7,0.0
42071099999,1975-03-18,19.28,47.8,1014.3,7.2,0.0
42071099999,1975-03-19,19.0,51.3,1012.2,5.1,0.0
42071099999,1975-03-20,23.0,52.5,1012.2,2.6,0.0
42071099999,1975-03-21,21.0,55.0,1007.9,9.2,99.99
42071099999,1975-03-22,20.44,54.9,1009.7,7.0,99.99
42071099999,1975-03-23,16.39,56.1,1013.8,11.8,0.0
42071099999,1975-03-24,17.33,51.1,1014.6,6.3,0.0
42071099999,1975-03-25,13.22,9999.9,1013.9,6.0,0.0
42071099999,1975-03-26,18.72,50.8,1012.8,5.0,0.0
42071099999,1975-03-27,19.83,53.6,1014.7,5.5,0.0
42071099999,1975-03-28,22.5,56.6,1014.4,6.3,0.0
42071099999,1975-03-29,20.61,56.5,1011.6,3.3,0.0
42071099999,1975-03-30,24.28,59.4,1011.3,3.5,0.0
42071099999,1975-03-31,23.0,61.4,1010.0,3.0,0.0
42071099999,1975-04-01,25.0,62.0,1010.1,4.7,0.0
42071099999,1975-04-02,28.22,67.6,1009.0,4.0,0.0
42071099999,1975-04-03,27.17,64.4,1007.8,3.5,0.0
42071099999,1975-04-04,23.0,64.9,1007.2,2.8,0.0
42071099999,1975-04-06,24.0,63.0,1006.9,5.0,0.0
42071099999,1975-04-07,25.22,46.4,1004.8,5.2,0.0
42071099999,1975-04-08,26.39,39.6,1004.5,4.5,0.0
42071099999,1975-04-09,22.5,45.0,1008.0,3.8,0.0
42071099999,1975-04-10,22.0,46.4,1008.9,16.9,0.0
42071099999,1975-04-11,22.5,48.2,1009.1,2.3,0.0
42071099999,1975-04-12,24.61,49.3,1005.6,3.2,0.0
42071099999,1975-04-14,23.28,44.6,1002.9,7.1,0.0
42071099999,1975-04-15,24.22,43.9,1004.1,8.9,0.0
42071099999,1975-04-16,24.39,46.0,1007.6,6.0,0.0
42071099999,1975-04-17,28.0,44.6,1005.9,7.5,0.0
42071099999,1975-04-18,25.0,9999.9,1004.5,1.3,0.0
42071099999,1975-04-19,27.72,55.8,1004.5,7.3,0.0
42071099999,1975-04-20,30.72,55.0,1003.7,7.2,0.0
42071099999,1975-04-21,31.78,53.2,1003.7,7.8,0.0
42071099999,1975-04-23,30.22,62.2,1006.0,5.4,0.0
42071099999,1975-04-24,27.22,64.4,1005.0,7.0,0.0
42071099999,1975-04-25,23.39,61.5,1004.2,9.2,99.99
42071099999,1975-04-26,29.0,59.9,1005.0,12.0,0.0
42071099999,1975-04-27,25.17,59.0,1005.6,11.0,0.0
42071099999,1975-04-28,26.28,58.5,1003.9,4.9,0.0
42071099999,1975-04-29,22.22,56.8,1005.5,5.8,0.0
42071099999,1975-04-30,28.17,58.1,1003.3,5.3,99.99
42071099999,1975-05-02,28.67,56.3,1000.5,5.0,0.0
42071099999,1975-05-03,26.5,55.7,1001.4,13.8,99.99
42071099999,1975-05-04,28.56,56.9,1004.1,1.6,0.0
42071099999,1975-05-05,17.78,9999.9,1004.2,3.1,0.0
42071099999,1975-05-06,27.33,51.2,1006.3,3.7,0.0
