DATE,TEMP,MAX,MIN,WDSP
1975-01-01,17.22,27.0,11.0,1.6
1975-01-02,21.0,28.0,13.0,4.4
1975-01-03,19.28,28.0,13.0,999.9
1975-01-04,17.83,27.0,13.0,2.8
1975-01-05,18.78,23.0,13.0,3.2
1975-01-06,19.5,26.0,16.0,2.2
1975-01-07,17.22,22.0,13.0,1.8
1975-01-08,17.78,25.0,12.0,2.4
1975-01-10,19.5,26.0,14.0,2.7
1975-01-11,22.39,26.0,19.0,2.2
1975-01-14,19.67,26.0,13.0,3.3
1975-01-15,19.17,25.0,13.0,2.6
1975-01-16,22.0,32.0,14.0,1.7
1975-01-17,18.67,26.0,6.0,2.6
1975-01-18,20.39,27.0,14.0,5.0
1975-01-19,20.78,27.0,15.0,5.8
1975-01-20,21.28,26.0,16.0,5.1
1975-01-21,21.72,27.0,17.0,4.8
1975-01-22,22.0,27.0,18.0,6.7
1975-01-23,21.33,26.0,19.0,5.3
1975-01-24,23.5,29.0,18.0,4.0
1975-01-25,22.28,26.0,19.0,4.6
1975-01-26,22.0,30.0,16.0,4.4
1975-01-27,31.22,44.0,16.0,6.2
1975-01-28,22.22,27.0,16.0,4.0
1975-01-29,21.67,27.0,15.0,4.2
1975-01-31,21.61,29.0,13.0,2.2
1975-02-03,21.5,26.0,8.0,3.3
1975-02-04,23.0,29.0,18.0,3.0
1975-02-05,24.28,29.0,19.0,2.4
1975-02-06,24.28,31.0,19.0,2.5
1975-02-07,23.61,32.0,20.0,3.4
1975-02-08,25.33,31.0,20.0,2.1
1975-02-09,24.28,35.0,20.0,2.5
1975-02-10,23.5,31.0,18.0,999.9
1975-02-11,24.28,32.0,19.0,2.0
1975-02-12,23.5,32.0,20.0,3.4
1975-02-13,23.78,32.0,20.0,4.0
1975-02-14,23.22,30.0,20.0,5.0
1975-02-15,24.56,31.0,20.0,3.5
1975-02-16,22.39,28.0,18.0,0.8
1975-02-17,23.44,28.0,20.0,2.1
1975-02-18,23.28,29.0,18.0,4.7
