DATE,TEMP,MAX,MIN,WDSP
1975-01-01,11.22,18.0,4.0,0.0
1975-01-10,11.78,16.0,4.0,1.0
1975-01-11,14.61,20.0,8.0,1.0
1975-01-13,13.28,21.0,5.0,4.5
1975-01-14,12.61,20.0,8.0,1.0
1975-01-16,11.78,21.0,5.0,1.5
1975-01-17,15.5,26.0,5.0,0.0
1975-01-23,13.61,19.0,4.0,2.0
1975-01-26,14.0,24.0,8.0,1.0
1975-01-29,14.67,24.0,6.0,0.8
1975-02-07,13.22,23.0,4.0,3.2
1975-02-08,15.28,23.0,9.0,3.2
1975-02-09,14.0,23.0,0.0,2.0
1975-02-10,12.5,23.0,5.0,0.0
1975-02-12,13.5,19.0,10.0,1.0
1975-02-14,12.22,22.0,5.0,0.0
1975-02-18,15.0,22.0,8.0,2.0
1975-02-21,17.28,23.0,8.0,1.0
1975-02-26,18.5,24.0,12.0,0.0
1975-03-12,22.72,27.0,14.0,6.8
1975-03-26,23.22,28.0,13.0,8.4
1975-03-28,18.0,27.0,11.0,1.2
1975-03-29,23.22,31.0,11.0,3.4
1975-04-06,24.39,29.0,18.0,4.8
1975-04-10,24.0,32.0,15.0,5.0
1975-04-12,25.22,30.0,21.0,5.5
1975-04-22,24.0,30.0,17.0,5.5
1975-04-23,22.0,24.0,19.0,2.4
1975-04-27,23.5,29.0,18.0,5.5
1975-05-08,26.22,32.0,17.0,4.0
1975-05-14,25.28,28.0,18.0,999.9
1975-05-16,25.0,31.0,20.0,2.2
1975-05-26,23.5,28.0,21.0,2.0
1975-05-29,23.78,27.0,21.0,999.9
1975-05-30,23.22,27.0,18.0,5.7
1975-06-06,25.5,27.0,23.0,0.0
1975-06-19,24.67,26.0,21.0,1.5
1975-06-20,27.28,33.0,11.0,6.5
1975-06-21,24.78,29.0,23.0,3.8
1975-06-25,25.5,30.0,22.0,2.0
1975-06-28,26.5,31.0,22.0,1.3
1975-06-29,25.0,30.0,23.0,4.0
1975-07-01,24.0,29.0,21.0,1.3
1975-07-02,24.22,27.0,23.0,1.4
1975-07-05,26.22,28.0,22.0,10.5
1975-07-08,26.5,30.0,22.0,4.5
1975-07-12,25.0,28.0,24.0,0.5
1975-07-13,25.72,28.0,22.0,2.0
1975-07-21,22.0,26.0,19.0,0.0
1975-07-22,25.0,29.0,21.0,2.5
1975-07-26,23.78,24.0,23.0,2.8
1975-07-27,23.5,26.0,21.0,3.3
1975-07-31,24.17,26.0,21.0,3.0
1975-08-01,24.56,28.0,21.0,3.9
1975-08-02,25.0,28.0,20.0,0.0
1975-08-04,28.0,32.0,21.0,2.4
1975-08-08,26.22,30.0,22.0,3.0
1975-08-11,24.28,28.0,21.0,2.8
1975-08-13,25.78,27.0,21.0,2.0
1975-08-14,26.22,31.0,24.0,1.0
1975-08-15,25.72,31.0,22.0,0.0
1975-08-18,25.39,31.0,22.0,1.4
1975-08-22,23.5,27.0,21.0,2.5
1975-08-27,25.5,28.0,23.0,6.3
1975-08-28,25.5,29.0,22.0,1.5
1975-08-29,24.78,29.0,21.0,999.9
1975-08-31,25.0,28.0,23.0,3.1
1975-09-02,23.0,25.0,21.0,1.6
1975-09-05,24.28,27.0,21.0,1.7
1975-09-10,24.78,28.0,22.0,2.5
1975-09-12,25.0,29.0,20.0,2.2
1975-09-14,22.33,28.0,22.0,0.6
1975-09-17,23.0,24.0,21.0,999.9
1975-09-18,23.39,29.0,20.0,2.2
1975-09-21,23.39,31.0,21.0,0.0
1975-09-22,25.39,30.0,21.0,3.0
1975-09-24,23.5,28.0,21.0,999.9
1975-09-25,22.22,29.0,19.0,0.8
1975-09-26,23.39,29.0,20.0,0.0
1975-09-28,24.83,31.0,20.0,1.2
1975-09-29,24.22,31.0,21.0,2.0
1975-09-30,24.44,30.0,20.0,1.5
1975-10-01,24.83,31.0,21.0,1.7
1975-10-02,23.39,28.0,20.0,2.2
1975-10-03,23.0,28.0,20.0,0.0
1975-10-05,23.22,27.0,19.0,0.8
1975-10-08,23.0,24.0,22.0,0.5
1975-10-09,22.5,28.0,20.0,0.7
1975-10-11,22.28,25.0,21.0,0.0
1975-10-12,23.28,26.0,21.0,2.2
1975-10-13,22.28,29.0,9.0,0.0
1975-10-15,24.39,30.0,21.0,1.6
1975-10-16,25.0,29.0,21.0,1.6
1975-10-17,22.17,28.0,19.0,0.0
1975-10-18,21.83,27.0,18.0,0.0
1975-10-20,22.33,29.0,19.0,2.4
1975-10-21,20.5,29.0,19.0,0.0
1975-10-22,19.22,28.0,16.0,0.0
1975-10-23,23.22,28.0,17.0,0.0
1975-10-24,20.72,29.0,15.0,0.5
1975-10-25,23.22,29.0,15.0,0.6
1975-10-28,22.5,27.0,16.0,2.3
1975-10-29,20.78,29.0,15.0,0.8
1975-10-30,21.5,26.0,18.0,2.5
1975-10-31,21.5,24.0,17.0,999.9
1975-11-02,19.0,26.0,18.0,0.0
1975-11-04,19.72,25.0,16.0,4.0
1975-11-06,17.78,20.0,17.0,0.6
1975-11-07,19.22,22.0,15.0,0.0
