DATE,TEMP,MAX,MIN,WDSP
1975-01-05,13.5,23.0,5.0,2.7
1975-01-06,16.78,22.0,7.0,2.2
1975-01-16,13.28,21.0,4.0,5.2
1975-01-17,11.5,20.0,3.0,1.7
1975-01-22,12.0,22.0,2.0,1.9
1975-01-27,15.0,29.0,7.0,7.5
1975-01-30,17.5,25.0,11.0,4.5
1975-02-03,15.22,23.0,7.0,1.7
1975-02-06,14.72,24.0,9.0,4.2
1975-02-07,16.5,27.0,0.0,6.0
1975-02-10,20.0,27.0,13.0,4.8
1975-02-11,18.78,26.0,10.0,0.7
1975-02-14,13.5,20.0,4.0,4.3
1975-02-16,13.22,22.0,6.0,4.8
1975-02-22,16.78,25.0,7.0,2.5
1975-02-24,20.5,28.0,12.0,5.7
1975-02-26,25.5,35.0,12.0,1.5
1975-03-03,21.78,36.0,15.0,6.5
1975-03-05,23.78,31.0,15.0,6.6
1975-03-06,21.78,29.0,17.0,8.3
1975-03-08,20.0,28.0,11.0,5.5
1975-03-17,24.0,35.0,12.0,0.7
1975-03-19,26.0,34.0,16.0,1.0
1975-03-20,27.0,35.0,18.0,3.2
1975-03-21,26.22,34.0,17.0,8.7
1975-03-26,23.28,32.0,11.0,4.5
1975-03-31,30.28,40.0,17.0,1.5
1975-04-03,30.0,38.0,17.0,6.3
1975-04-10,27.0,36.0,14.0,2.5
1975-04-14,27.72,37.0,14.0,5.2
1975-04-15,28.28,38.0,14.0,3.5
1975-04-19,33.0,42.0,24.0,3.0
1975-04-22,31.5,39.0,21.0,1.9
1975-04-29,32.0,41.0,22.0,3.0
1975-05-03,31.78,42.0,22.0,6.5
1975-05-08,36.0,42.0,26.0,6.5
1975-05-15,31.78,38.0,23.0,27.5
1975-07-02,31.5,38.0,24.0,8.0
1975-07-03,32.22,39.0,24.0,999.9
1975-07-07,31.78,39.0,24.0,999.9
1975-07-08,30.78,37.0,24.0,5.5
1975-07-10,33.78,41.0,29.0,999.9
1975-07-14,29.0,35.0,26.0,1.7
1975-07-18,31.78,38.0,25.0,6.6
1975-07-24,30.5,37.0,25.0,999.9
1975-07-31,30.22,39.0,23.0,4.6
1975-08-04,30.5,37.0,23.0,999.9
1975-08-06,32.0,37.0,22.0,1.7
1975-08-08,30.78,36.0,23.0,2.4
1975-08-09,33.78,39.0,25.0,3.7
1975-08-11,32.0,41.0,27.0,4.0
1975-08-15,29.28,35.0,25.0,2.8
1975-08-21,27.0,33.0,25.0,4.2
1975-08-25,30.22,35.0,26.0,6.2
1975-08-26,30.78,36.0,23.0,4.2
1975-08-29,26.0,32.0,21.0,4.3
1975-09-06,25.78,33.0,25.0,1.2
1975-09-11,29.78,35.0,26.0,4.0
1975-09-12,29.61,34.0,26.0,4.2
1975-09-19,28.0,32.0,25.0,6.0
1975-09-20,28.0,33.0,24.0,6.0
1975-09-22,28.5,34.0,24.0,0.2
1975-09-26,29.22,37.0,22.0,0.5
1975-09-28,30.72,37.0,23.0,3.5
1975-09-29,29.39,37.0,22.0,2.0
