DATE,TEMP,MAX,MIN,WDSP
1975-01-01,17.17,23.0,7.0,4.3
1975-01-03,12.61,15.0,9.0,0.8
1975-01-04,13.5,21.0,7.0,0.5
1975-01-05,15.44,23.0,7.0,1.0
1975-01-06,15.61,23.0,7.0,1.7
1975-01-08,15.0,22.0,8.0,0.5
1975-01-09,14.5,24.0,5.0,0.8
1975-01-10,17.0,25.0,7.0,1.5
1975-01-11,18.17,26.0,9.0,1.0
1975-01-12,16.5,24.0,12.0,3.0
1975-01-13,15.72,22.0,10.0,3.2
1975-01-14,12.22,20.0,8.0,1.0
1975-01-15,14.0,23.0,6.0,1.0
1975-01-16,15.28,24.0,8.0,0.7
1975-01-17,20.5,25.0,14.0,1.5
1975-01-19,17.22,23.0,6.0,1.8
1975-01-21,16.22,21.0,8.0,2.8
1975-01-22,14.61,16.0,13.0,3.2
1975-01-23,17.83,24.0,11.0,1.3
1975-01-24,17.67,23.0,13.0,0.5
1975-01-25,16.78,23.0,12.0,1.6
1975-01-26,15.67,23.0,9.0,1.0
1975-01-27,16.39,24.0,8.0,1.2
1975-01-28,16.17,25.0,0.0,1.5
1975-01-29,15.78,24.0,9.0,1.0
1975-01-30,18.78,24.0,13.0,1.5
1975-01-31,14.22,17.0,11.0,0.7
1975-02-01,16.44,21.0,13.0,5.1
1975-02-02,16.5,22.0,11.0,2.1
1975-02-03,15.78,22.0,8.0,2.5
1975-02-05,16.78,21.0,10.0,2.0
1975-02-06,19.0,25.0,12.0,1.6
1975-02-07,21.0,28.0,12.0,0.6
1975-02-08,20.5,28.0,11.0,4.3
1975-02-09,20.61,27.0,12.0,2.6
1975-02-10,18.5,27.0,14.0,0.0
1975-02-11,17.78,24.0,10.0,1.2
1975-02-12,18.33,26.0,12.0,3.2
1975-02-15,22.0,27.0,15.0,1.0
1975-02-16,19.0,25.0,13.0,1.5
1975-02-17,18.83,26.0,12.0,2.5
1975-02-18,16.22,24.0,6.0,2.6
1975-02-19,16.17,26.0,6.0,0.3
1975-02-20,20.0,27.0,10.0,0.8
1975-02-21,19.44,24.0,14.0,1.4
1975-02-22,20.56,28.0,14.0,3.0
1975-02-23,20.67,26.0,15.0,1.8
1975-02-24,19.0,28.0,11.0,1.0
1975-02-25,21.78,29.0,13.0,0.7
1975-02-26,21.44,29.0,12.0,1.8
1975-02-28,26.5,31.0,12.0,0.5
